Order ID: 6915, Amount: 197, Region: 0
Order ID: 6915, Amount: 197, Region: 0
Order ID: 5123, Amount: 478, Region: 0
Order ID: 3526, Amount: 257, Region: 0
Order ID: 6915, Amount: 197, Region: 0
Order ID: 5123, Amount: 478, Region: 0
Order ID: 3526, Amount: 257, Region: 0
Order ID: 6915, Amount: 197, Region: 0
Order ID: 5123, Amount: 478, Region: 0
Order ID: 3526, Amount: 257, Region: 0
Order ID: 6915, Amount: 197, Region: 0
Order ID: 5123, Amount: 478, Region: 0
Order ID: 6915, Amount: 197, Region: 0
Order ID: 5123, Amount: 478, Region: 0
Order ID: 3526, Amount: 257, Region: 0
Order ID: 6915, Amount: 197, Region: 0
Order ID: 5123, Amount: 478, Region: 0
Order ID: 3526, Amount: 257, Region: 0
Order ID: 5857, Amount: 381, Region: 0
Order ID: 6915, Amount: 197, Region: 0
Order ID: 5123, Amount: 478, Region: 0
Order ID: 6915, Amount: 197, Region: 0
Order ID: 5123, Amount: 478, Region: 0
Order ID: 3526, Amount: 257, Region: 0
Order ID: 5857, Amount: 381, Region: 0
Order ID: 6915, Amount: 197, Region: 0
Order ID: 5123, Amount: 478, Region: 0
Order ID: 3526, Amount: 257, Region: 0
Order ID: 6915, Amount: 197, Region: 0
Order ID: 5123, Amount: 478, Region: 0
Order ID: 3526, Amount: 257, Region: 0
Order ID: 5857, Amount: 381, Region: 0
