Order ID: 3926, Amount: 222, Region: 1
Order ID: 9170, Amount: 129, Region: 1
Order ID: 3926, Amount: 222, Region: 1
Order ID: 3926, Amount: 222, Region: 1
Order ID: 3926, Amount: 222, Region: 1
Order ID: 3926, Amount: 222, Region: 1
Order ID: 9170, Amount: 129, Region: 1
Order ID: 3926, Amount: 222, Region: 1
Order ID: 9170, Amount: 129, Region: 1
Order ID: 3926, Amount: 222, Region: 1
Order ID: 3926, Amount: 222, Region: 1
Order ID: 9170, Amount: 129, Region: 1
Order ID: 3926, Amount: 222, Region: 1
Order ID: 3926, Amount: 222, Region: 1
Order ID: 9170, Amount: 129, Region: 1
