Order ID: 5368, Amount: 449, Region: 4
Order ID: 4421, Amount: 413, Region: 4
Order ID: 8537, Amount: 359, Region: 4
Order ID: 5368, Amount: 449, Region: 4
Order ID: 4421, Amount: 413, Region: 4
Order ID: 8537, Amount: 359, Region: 4
Order ID: 5368, Amount: 449, Region: 4
Order ID: 8537, Amount: 359, Region: 4
Order ID: 5368, Amount: 449, Region: 4
Order ID: 5368, Amount: 449, Region: 4
Order ID: 4421, Amount: 413, Region: 4
Order ID: 8537, Amount: 359, Region: 4
Order ID: 2305, Amount: 239, Region: 4
Order ID: 5368, Amount: 449, Region: 4
Order ID: 4421, Amount: 413, Region: 4
Order ID: 8537, Amount: 359, Region: 4
Order ID: 2305, Amount: 239, Region: 4
Order ID: 9582, Amount: 104, Region: 4
Order ID: 3367, Amount: 152, Region: 4
Order ID: 5368, Amount: 449, Region: 4
Order ID: 5368, Amount: 449, Region: 4
Order ID: 4421, Amount: 413, Region: 4
Order ID: 8537, Amount: 359, Region: 4
Order ID: 2305, Amount: 239, Region: 4
Order ID: 5368, Amount: 449, Region: 4
Order ID: 8537, Amount: 359, Region: 4
Order ID: 5368, Amount: 449, Region: 4
Order ID: 4421, Amount: 413, Region: 4
Order ID: 8537, Amount: 359, Region: 4
Order ID: 2305, Amount: 239, Region: 4
Order ID: 9582, Amount: 104, Region: 4
Order ID: 3367, Amount: 152, Region: 4
