Order ID: 8690, Amount: 191, Region: 3
Order ID: 8042, Amount: 128, Region: 3
Order ID: 8315, Amount: 465, Region: 3
Order ID: 8690, Amount: 191, Region: 3
Order ID: 8042, Amount: 128, Region: 3
Order ID: 8315, Amount: 465, Region: 3
Order ID: 8690, Amount: 191, Region: 3
Order ID: 8042, Amount: 128, Region: 3
Order ID: 8315, Amount: 465, Region: 3
Order ID: 8690, Amount: 191, Region: 3
Order ID: 8690, Amount: 191, Region: 3
Order ID: 8042, Amount: 128, Region: 3
Order ID: 8315, Amount: 465, Region: 3
Order ID: 846, Amount: 94, Region: 3
Order ID: 8690, Amount: 191, Region: 3
Order ID: 8042, Amount: 128, Region: 3
Order ID: 8315, Amount: 465, Region: 3
Order ID: 846, Amount: 94, Region: 3
Order ID: 6808, Amount: 224, Region: 3
Order ID: 8690, Amount: 191, Region: 3
Order ID: 8690, Amount: 191, Region: 3
Order ID: 8042, Amount: 128, Region: 3
Order ID: 8315, Amount: 465, Region: 3
Order ID: 846, Amount: 94, Region: 3
Order ID: 8690, Amount: 191, Region: 3
Order ID: 8042, Amount: 128, Region: 3
Order ID: 8315, Amount: 465, Region: 3
Order ID: 8690, Amount: 191, Region: 3
Order ID: 8042, Amount: 128, Region: 3
Order ID: 8315, Amount: 465, Region: 3
