Order ID: 9383, Amount: 86, Region: 2
Order ID: 1421, Amount: 264, Region: 2
Order ID: 9383, Amount: 86, Region: 2
Order ID: 1421, Amount: 264, Region: 2
Order ID: 3929, Amount: 483, Region: 2
Order ID: 3058, Amount: 201, Region: 2
Order ID: 9956, Amount: 433, Region: 2
Order ID: 9383, Amount: 86, Region: 2
Order ID: 1421, Amount: 264, Region: 2
Order ID: 3929, Amount: 483, Region: 2
Order ID: 3058, Amount: 201, Region: 2
Order ID: 9956, Amount: 433, Region: 2
Order ID: 9383, Amount: 86, Region: 2
Order ID: 1421, Amount: 264, Region: 2
Order ID: 3929, Amount: 483, Region: 2
Order ID: 3058, Amount: 201, Region: 2
Order ID: 9956, Amount: 433, Region: 2
Order ID: 9383, Amount: 86, Region: 2
Order ID: 1421, Amount: 264, Region: 2
Order ID: 9383, Amount: 86, Region: 2
Order ID: 1421, Amount: 264, Region: 2
Order ID: 3058, Amount: 201, Region: 2
Order ID: 3929, Amount: 483, Region: 2
Order ID: 9956, Amount: 433, Region: 2
Order ID: 9383, Amount: 86, Region: 2
Order ID: 1421, Amount: 264, Region: 2
Order ID: 3929, Amount: 483, Region: 2
Order ID: 3058, Amount: 201, Region: 2
Order ID: 9956, Amount: 433, Region: 2
Order ID: 4043, Amount: 260, Region: 2
Order ID: 9383, Amount: 86, Region: 2
Order ID: 1421, Amount: 264, Region: 2
Order ID: 3929, Amount: 483, Region: 2
Order ID: 3058, Amount: 201, Region: 2
Order ID: 9383, Amount: 86, Region: 2
Order ID: 1421, Amount: 264, Region: 2
Order ID: 3929, Amount: 483, Region: 2
Order ID: 3058, Amount: 201, Region: 2
Order ID: 9956, Amount: 433, Region: 2
Order ID: 9383, Amount: 86, Region: 2
Order ID: 1421, Amount: 264, Region: 2
Order ID: 3929, Amount: 483, Region: 2
Order ID: 3058, Amount: 201, Region: 2
Order ID: 9956, Amount: 433, Region: 2
Order ID: 9383, Amount: 86, Region: 2
Order ID: 1421, Amount: 264, Region: 2
Order ID: 3929, Amount: 483, Region: 2
Order ID: 3058, Amount: 201, Region: 2
Order ID: 9956, Amount: 433, Region: 2
Order ID: 4043, Amount: 260, Region: 2
